accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-4.017208825897591179e-03,-8.343289993497345416e-03,-9.794672155922974355e+00
-6.854961371192079371e-03,6.855014687050455142e-03,-9.794321995050626839e+00
5.008697135697753487e-04,1.205755665715012998e-02,-9.790797862619795566e+00
-2.025510768954132471e-04,4.750064375601863870e-03,-9.794578391426549402e+00
1.245175241685315048e-03,-2.998809548154827368e-03,-9.792388334436276764e+00
-2.698048491317296075e-03,-3.408123074251838934e-03,-9.795186414548581411e+00
-6.001705249316373510e-03,-2.406969078955542313e-03,-9.794162050515353712e+00
2.632201561937648569e-03,5.266950796659244927e-03,-9.792793409427128282e+00
9.782586662381248174e-03,4.426885872667957189e-03,-9.803470035529935345e+00
1.262484922478493464e-03,3.335888416889569268e-03,-9.796666119691099794e+00
-5.511127270076782522e-05,4.271591833664121172e-03,-9.796847788089790399e+00
-1.254143695177399034e-03,2.557751211989092114e-03,-9.795495774713081971e+00
1.006516887317856178e-03,1.208148740253589190e-02,-9.791206024378910300e+00
-1.740564664072631737e-03,1.897271225512612777e-03,-9.804701594296725276e+00
